name,state,address,notes,display_order,status
PRIME CARE HOSPITAL - LEKKI,Lagos,"plot 30c Alternative Route,adj Madam Juliana’s estate Chevron Drive Lekki Lagos",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 2 | Service: General,0,active
PREMIER SPECIALISTS HOSPITAL - LEKKI,Lagos,"64, Emma Abimbola cole street, off Fola Osibo Rd, Lekki Phase I, Lagos, Nigeria",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 5 | Service: General,0,active
ONSTELLATION CLINICS - Clinical Psychologist,Lagos,"No 270 Waterfront Plaza, Ozumba Mbadiwe ST.VI Lagos State","City/Town: Victoria Island, | LGA: Eti-Osa | Category: Tier 5 | Service: Psychiatry/mental health",0,active
RENAISSANCE MEDICAL CENTRE,Lagos,"8B, Elsie Femi Pearse Street, Victoria Island, Lagos","City/Town: Victoria Island, | LGA: Eti-Osa | Category: Tier 3 | Service: General",0,active
DUKES NEUROSURGERY AND SPECIALIST HOSPITAL - VI,Lagos,"54, Sinari Daranijo Street Off Ligali Ayorinde Street Victoria Island, Lagos.","City/Town: Victoria Island, | LGA: Eti-Osa | Category: Tier 4 | Service: SURGERY",0,active
HOSPITAL FOR TRAUMA AND SURGERY - VI,Lagos,"16, WATER COOPERATION DRIVE ONIRU VICTORIA ISLAND","City/Town: Victoria Island, | LGA: Eti-Osa | Category: Tier 5 | Service: SURGERY/Referral",0,active
HOSPITAL FOR TRAUMA AND SURGERY - LEKKI,Lagos,"13, Remi Olowude Street, Marwa Bus Stop, Lekki Phase 1, Lagos",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 5 | Service: SURGERY/Referral,0,active
LAGOS EXECUTIVE CARDIOVASCULAR CENTRE,Lagos,"3/5 Adetola Ayeni Street, off Freedom Way, Lekki Phase I, Lagos",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 3 | Service: General,0,active
REDDOT MEDICAL CENTRE,Lagos,"6,BUCKINGHAMCOURT, 25 B IBEREKODO AVE, OFF CHEVRON DRIVE, LEKKI PHASE2.",City/Town: Lekki Phase 2 | LGA: Eti-osa | Category: Tier 1 | Service: General,0,active
FRONTLINE HOSPITAL,Lagos,"Eleko Beach Road, Amen Estate Phase 2, Eleko, Ibeju-Lekki, Lagos",City/Town: Ibeju - Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: General,0,active
ORIENTAL MULTI-SPECIALIST HOSPITAL - LAGOS,Lagos,"18 PAUL STREET, UNITED ESTATES, SANGOTEDO, AJAH, LEKKI, LAGOS",City/Town: Lekki | LGA: Eti-osa | Category: Tier 1 | Service: General,0,active
DOREN SPECIALIST HOSPITAL - Ibeju-Lekki Branch,Lagos,"Beside Pencil Oil filling station along Lekki-Epe Expressway Imalete-Alafia, Ibeju-Lekki.",City/Town: Lekki | LGA: Ibeju-Lekki. | Category: Tier 3 | Service: General,0,active
